PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Fred VanVleet,TOR,29,6-0,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,69,19.3,4.1,7.2,3.3,1.1,11,22.5,54,27.6
Furkan Korkmaz,PHI,25,6-7,202,None,Turkey,2016,1,26,37,3.8,1.1,0.6,1.4,1.7,9.9,17.6,55.2,9.1
Gabe Vincent,MIA,26,6-2,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,68,9.4,2.1,2.5,-0.7,1.6,7.1,17,53.3,13.9
Gabe York,IND,29,6-3,190,Arizona,USA,Undrafted,Undrafted,Undrafted,3,8,2,1.7,17.4,0,9.4,17.3,54.8,10.9
Garrett Temple,NOP,37,6-6,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,25,2,0.7,0.5,-5.3,2.7,6.9,12.3,53.5,11.7
Garrison Mathews,ATL,26,6-6,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,54,4.8,1.4,0.5,-6.4,1.4,8.2,13.9,57.3,5.7
Gary Harris,ORL,28,6-4,210,Michigan State,USA,2014,1,19,48,8.3,2,1.2,-2.8,1.8,6.9,12.5,62,6.7
Gary Payton II,GSW,30,6-2,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,22,4.6,3.1,1.4,5.4,6.9,12.1,10.1,70.1,10.6
Gary Trent Jr.,TOR,24,6-5,209,Duke,USA,2018,2,37,66,17.4,2.6,1.6,-2.1,1.3,7.3,20.9,56,7.5
George Hill,IND,37,6-4,188,Indiana-Purdue Indianapolis,USA,2008,1,26,46,5,1.8,2.4,1.9,1.7,7.7,11,61,17.8
Georges Niang,PHI,29,6-7,230,Iowa State,USA,2016,2,50,78,8.2,2.4,1,1.3,1.3,10.9,16.2,61,7.4
Giannis Antetokounmpo,MIL,28,7-0,243,None,Greece,2013,1,15,63,31.1,11.8,5.7,7.2,6.5,26.8,37.3,60.5,31.4
Goga Bitadze,ORL,23,6-11,250,None,Georgia,2019,1,18,38,4.4,3.6,1,3.7,12.3,16.7,14.7,58.2,12.2
Goran Dragic,MIL,37,6-4,190,None,Slovenia,2008,2,45,58,6.3,1.4,2.6,-0.6,1.8,7.5,19.8,51.4,23.7
Gordon Hayward,CHA,33,6-7,225,Butler,USA,2010,1,9,50,14.7,4.3,4.1,-3.3,2,11.2,19.6,56.3,18.7
Gorgui Dieng,SAS,33,6-10,248,Louisville,Senegal,2013,1,21,31,3.9,3.5,1.7,-18.6,6.3,22,17.7,49.3,22.1
Grant Williams,BOS,24,6-6,236,Tennessee,USA,2019,1,22,79,8.1,4.6,1.7,5.9,4.2,13.4,12.8,60.5,8.6
Grayson Allen,MIL,27,6-4,198,Duke,USA,2018,1,21,72,10.4,3.3,2.3,4.9,3,8.2,14.3,61.2,10.7
Greg Brown III,POR,21,6-7,206,Texas,USA,2021,2,43,16,1.8,1.2,0.2,-3.4,1.9,17.5,17,42.1,5.5
Hamidou Diallo,DET,24,6-5,202,Kentucky,USA,2018,2,45,56,9.3,3.5,1,-0.6,5.6,13.6,21,59.3,8.8
