PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Omer Yurtseven,MIA,24,6-11,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,9,4.4,2.6,0.2,1.7,8.9,17.9,15.9,67.5,3.5
Onyeka Okongwu,ATL,22,6-9,240,Southern California,USA,2020,1,6,80,9.9,7.2,1,1.8,11.7,19,15,67.8,6
Orlando Robinson,MIA,22,6-10,235,Fresno State,USA,Undrafted,Undrafted,Undrafted,31,3.7,4.1,0.8,3.8,10.8,20.1,11.6,56.5,8.6
Oshae Brissett,IND,24,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,65,6.1,3.4,0.7,0.6,5.4,14.4,15.5,52,5.5
Otto Porter Jr.,TOR,30,6-8,198,Georgetown,USA,2013,1,3,8,5.5,2.4,1,-5,3.8,9.6,10.4,65.6,7.8
Ousmane Dieng,OKC,20,6-9,185,None,France,2022,1,11,39,4.9,2.7,1.2,2.9,3,14.1,15.4,50.5,10.8
P.J. Tucker,PHI,38,6-5,245,Texas,USA,2006,2,35,75,3.5,3.9,0.8,4,5.5,10.8,6.6,56.6,4
P.J. Washington,CHA,24,6-7,230,Kentucky,USA,2019,1,12,73,15.7,4.9,2.4,-7.2,2.8,11.8,20,54.2,10.7
PJ Dozier,SAC,26,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,16,1.4,0.9,0.6,-12.9,1.2,17.1,20.3,33.3,19.6
Paolo Banchero,ORL,20,6-10,250,Duke,USA,2022,1,1,72,20,6.9,3.7,-4.2,3.5,17.4,27.2,52.9,17.1
Pascal Siakam,TOR,29,6-8,230,New Mexico State,Cameroon,2016,1,27,71,24.2,7.8,5.8,2.4,4.7,17.7,27,56.5,24.4
Pat Connaughton,MIL,30,6-5,209,Notre Dame,USA,2015,2,41,61,7.6,4.6,1.3,3.4,3.3,14.4,13.3,53.1,6.9
Patrick Baldwin Jr.,GSW,20,6-9,220,Wisconsin-Milwaukee,USA,2022,1,28,31,3.9,1.3,0.4,-12.3,0.4,18.8,22.7,54.6,8.3
Patrick Beverley,CHI,34,6-2,180,Arkansas,USA,2009,2,42,67,6.2,3.7,2.9,-1.5,2.5,11.1,10.7,53.4,13.7
Patrick Williams,CHI,21,6-7,215,Florida State,USA,2020,1,4,82,10.2,4,1.2,-2.4,3.6,10.7,15.6,57.6,5.9
Patty Mills,BKN,34,6-0,180,St. Mary's,Australia,2009,2,55,40,6.2,1.1,1.4,-5.8,1.4,6.2,18.2,55.4,13.6
Paul George,LAC,33,6-8,220,Fresno State,USA,2010,1,10,56,23.8,6.1,5.1,4,2.5,15.3,29.4,58.8,23.7
Paul Reed,PHI,23,6-9,210,DePaul,USA,2020,2,58,69,4.2,3.8,0.4,-0.4,14.7,20.7,15.2,62,5.1
Payton Pritchard,BOS,25,6-1,195,Oregon,USA,2020,1,26,48,5.6,1.8,1.3,1.4,3.8,9.4,19.3,53.6,15.3
Peyton Watson,DEN,20,6-7,200,UCLA,USA,2022,1,30,23,3.3,1.6,0.5,-12,4.3,13.9,17.4,55.3,8.7
Precious Achiuwa,TOR,23,6-8,225,Memphis,Nigeria,2020,1,20,55,9.2,6,0.9,-1.6,8.3,21.3,19,55.4,6.3
Quentin Grimes,NYK,23,6-5,210,Houston,USA,2021,1,25,71,11.3,3.2,2.1,4.4,2.2,8.5,14.2,61.9,9.6
Quenton Jackson,WAS,24,6-5,173,Texas A&M,USA,Undrafted,Undrafted,Undrafted,9,6.2,0.9,1.7,-6.7,1.4,4.4,16.4,54.2,15.5
R.J. Hampton,DET,22,6-4,175,None,USA,2020,1,24,47,6.4,1.9,1.1,-8.7,2.4,9.3,17.5,55.8,11
RJ Barrett,NYK,22,6-6,214,Duke,Canada,2019,1,3,73,19.6,5,2.8,-1.2,2.3,12.1,25.6,53.1,12.4
RaiQuan Gray,BKN,23,6-7,269,Florida State,USA,2021,2,59,1,16,9,7,-17.5,7.5,17.6,20.5,62.1,35
Raul Neto,CLE,31,6-2,180,None,Brazil,2013,2,47,48,3.3,1,1.6,1.4,2.2,7.1,13.3,62.8,22.6
Reggie Bullock,DAL,32,6-6,205,North Carolina,USA,2013,1,25,78,7.2,3.6,1.4,-1.8,1.4,11.2,9.8,57.7,6.3
Reggie Jackson,DEN,33,6-2,208,Boston College,USA,2011,1,24,68,10.2,2.1,3.4,-2.2,1.5,7.1,20.5,51.4,21.1
Richaun Holmes,SAC,29,6-8,235,Bowling Green,USA,2015,2,37,42,3.1,1.9,0.2,-9.3,8.2,14.9,13.2,66.8,4
Ricky Rubio,CLE,32,6-2,190,None,Spain,2009,1,5,33,5.2,2.1,3.5,3,1.5,11.2,17.2,44.2,29.5
Robert Covington,LAC,32,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,48,6,3.5,1.2,-1,3.8,16.4,14.9,58.4,10.5
Robert Williams III,BOS,25,6-9,237,Texas A&M,USA,2018,1,27,35,8,8.3,1.4,11.4,12.4,20.9,11.3,74.2,8.6
Robin Lopez,CLE,35,7-0,281,Stanford,USA,2008,1,15,37,3,1.4,0.5,-8.7,7.5,9.7,15.6,67.5,10.5
Rodney McGruder,DET,31,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,32,5.7,2.3,0.9,-3.5,3.5,10.9,13.5,56.6,7.1
Romeo Langford,SAS,23,6-5,216,Indiana,USA,2019,1,14,43,6.9,2.7,1.2,-8.5,6,6.7,14.8,52.4,8
Ron Harper Jr.,TOR,23,6-5,245,Rutgers,USA,Undrafted,Undrafted,Undrafted,9,2.2,0.8,0.4,21.8,5.4,9.3,13.6,60.8,10.8
Royce O'Neale,BKN,29,6-6,226,Baylor,USA,Undrafted,Undrafted,Undrafted,76,8.8,5.1,3.7,2.1,2.5,12.9,13.6,53.8,15.5
Rudy Gay,UTA,36,6-8,250,Connecticut,USA,2006,1,8,56,5.2,2.9,1,2.9,3.8,14.8,17.4,47.3,9.5
Rudy Gobert,MIN,30,7-1,258,None,France,2013,1,27,70,13.4,11.6,1.2,0.4,11.1,26,16.1,67.5,5.8
Rui Hachimura,LAL,25,6-8,230,Gonzaga,Japan,2019,1,9,63,11.2,4.5,0.9,-1.2,3.6,14.1,19.4,55.6,6
Russell Westbrook,LAC,34,6-3,200,UCLA,USA,2008,1,4,73,15.9,5.8,7.5,-0.2,4.2,14.7,26.6,51.3,36.4
Ryan Arcidiacono,POR,29,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted,20,1.3,0.8,1.2,-12.8,0,9,10.6,35.1,19.5
Ryan Rollins,GSW,20,6-3,180,Toledo,USA,2022,2,44,12,1.9,1,0.5,-38.1,4.3,15.3,26,50.8,21.4
Saben Lee,PHX,23,6-2,183,Vanderbilt,USA,2020,2,38,25,6,1.8,2.7,-4.4,3,8.2,18.4,51.7,27.8
Saddiq Bey,ATL,24,6-7,215,Villanova,USA,2020,1,19,77,13.8,4.7,1.5,-3.1,4.4,12.7,19.4,56.4,8
Sam Hauser,BOS,25,6-7,217,Virginia,USA,Undrafted,Undrafted,Undrafted,80,6.4,2.6,0.9,7.7,2.7,12.1,14.1,63.4,7.6
Sam Merrill,CLE,27,6-4,205,Utah State,USA,2020,2,60,5,5,1.8,1,-3.3,0,16.7,17.7,54.6,14.3
Sandro Mamukelashvili,SAS,24,6-10,240,Seton Hall,Georgia,2021,2,54,43,6.1,4.3,1.4,-10.1,9.3,17.8,17.7,51.6,13.4
Santi Aldama,MEM,22,7-0,215,Loyola-Maryland,Spain,2021,1,30,77,9,4.8,1.3,2.6,4.7,16.2,15.7,59.1,7.6
Scottie Barnes,TOR,21,6-8,225,Florida State,USA,2021,1,4,77,15.3,6.6,4.8,3.2,6.3,13.5,20,52.4,19.5
Scotty Pippen Jr.,LAL,22,6-1,170,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,6,2.3,0.7,0.3,-1.5,5,5.7,23.1,43.9,12.5
Serge Ibaka,MIL,33,6-11,235,None,Democratic Republic of the Congo,2008,1,24,16,4.1,2.8,0.3,-6.5,7.3,15.3,15.9,55.3,3.6
Seth Curry,BKN,32,6-1,185,Duke,USA,Undrafted,Undrafted,Undrafted,61,9.2,1.6,1.6,-3.5,1.1,7.1,18.8,59.3,12.1
Shaedon Sharpe,POR,20,6-5,200,Kentucky,Canada,2022,1,7,80,9.9,3,1.2,-7.6,3.7,10.2,18.6,56.8,7.9
Shai Gilgeous-Alexander,OKC,24,6-6,195,Kentucky,Canada,2018,1,11,68,31.4,4.8,5.5,2.7,2.3,10.9,31.8,62.6,24.9
Shake Milton,PHI,26,6-5,205,Southern Methodist,USA,2018,2,54,76,8.4,2.5,3.2,3.9,2.6,9.6,17.5,57.5,21.3
Shaquille Harrison,LAL,29,6-4,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,5,8.8,4.4,6,-0.4,0.8,18.4,16.2,51.6,30.6
Simone Fontecchio,UTA,27,6-7,209,None,Italy,Undrafted,Undrafted,Undrafted,52,6.3,1.7,0.8,-13.1,3.6,7,19.2,49.5,7.9
Skylar Mays,POR,25,6-4,205,Louisiana State,USA,2020,2,50,6,15.3,3.2,8.3,-16.3,1,9.7,18.2,62.4,36.8
Spencer Dinwiddie,BKN,30,6-5,215,Colorado,USA,2014,2,38,79,17.3,3.4,6.5,-0.1,1,9.2,22,57.3,29.7
Stanley Johnson,SAS,27,6-6,242,Arizona,USA,2015,1,8,30,5.8,3.2,2.2,-7,4.7,15,14.8,62.5,17.9
Stanley Umude,DET,24,6-6,210,Arkansas,USA,Undrafted,Undrafted,Undrafted,1,2,0,0,95,0,0,50,53.2,0
Stephen Curry,GSW,35,6-2,185,Davidson,USA,2009,1,7,56,29.4,6.1,6.3,5.8,2,14.7,29.7,65.6,27.4
Sterling Brown,LAL,28,6-5,219,Southern Methodist,USA,2017,2,46,4,0,2,0.5,0.4,9.1,15.2,6.1,0,7.7
Steven Adams,MEM,29,6-11,265,Pittsburgh,New Zealand,2013,1,12,42,8.6,11.5,2.3,9.7,17.1,22.2,13.9,56.4,10.7
Svi Mykhailiuk,CHA,25,6-7,205,Kansas,Ukraine,2018,2,47,32,6.9,1.7,1.7,1,3.2,7.9,19.1,58.4,16.7
T.J. McConnell,IND,31,6-1,190,Arizona,USA,2015,0,,75,8.7,3.1,5.3,-2.4,2.8,12.3,18.2,59,39
T.J. Warren,PHX,29,6-8,220,North Carolina State,USA,2014,1,14,42,7.5,2.9,1,4.4,3.8,13.1,18.5,55,8.1
Taj Gibson,WAS,37,6-9,232,Southern California,USA,2009,1,26,49,3.4,1.9,0.7,-1.1,6.8,14.3,15.1,58.5,9.4
Talen Horton-Tucker,UTA,22,6-4,234,Iowa State,USA,2019,2,46,65,10.7,3.2,3.8,0.1,3,11.7,25,50.8,27.4
Tari Eason,HOU,22,6-8,215,Louisiana State,USA,2022,1,17,82,9.3,6,1.1,-4.8,10.1,17.2,18.4,52.5,7.5
Taurean Prince,MIN,29,6-6,218,Baylor,USA,2016,1,12,54,9.1,2.4,1.6,0.9,1.3,9.6,16.5,59.7,9.4
Terance Mann,LAC,26,6-5,215,Florida State,USA,2019,2,48,81,8.8,3.4,2.3,0.3,4.2,10.7,14.9,61.9,13.9
Terence Davis,SAC,26,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,64,6.7,2.2,1,4,2.4,14,21.5,56.3,11
Terrence Ross,PHX,32,6-7,206,Washington,USA,2012,1,8,63,8.3,2.4,1.5,-2.6,1.6,9.9,16.6,54.4,10.1
Terry Rozier,CHA,29,6-1,190,Louisville,USA,2015,1,16,63,21.1,4.1,5.1,-6.2,2.1,9.5,26.2,51.7,22
Terry Taylor,CHI,23,6-4,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,31,2.9,1.5,0.3,4.5,8.8,7.6,12.9,55.7,5.2
Thaddeus Young,TOR,34,6-8,235,Georgia Tech,USA,2007,1,12,54,4.4,3.1,1.4,-5.6,8.3,13.6,13.1,57.3,13.3
Thanasis Antetokounmpo,MIL,30,6-7,219,None,Greece,2014,2,51,37,1.4,1.2,0.4,-26.6,7.5,13.9,13.8,45.8,11.5
Theo Maledon,CHA,21,6-5,175,None,France,2020,2,34,44,6.7,2.8,3.5,-8.9,1.6,12.8,16.6,51.5,24.7
Theo Pinson,DAL,27,6-7,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,40,2.4,1.6,1.2,-7.6,2.9,16.3,13.6,51.2,19.6
Thomas Bryant,DEN,25,6-10,248,Indiana,USA,2017,2,42,59,9.8,5.7,0.5,-4.7,8.1,22.3,18.1,68.2,4.2
Tim Hardaway Jr.,DAL,31,6-5,205,Michigan,USA,2013,1,24,71,14.4,3.5,1.8,3.4,1,10.8,20.1,55.4,8.8
Tobias Harris,PHI,30,6-7,226,Tennessee,USA,2011,1,19,74,14.7,5.7,2.5,5.5,3,15,18,60.2,11.4
Tony Bradley,CHI,25,6-11,248,North Carolina,USA,2017,1,28,12,1.6,0.9,0.1,9.9,2.9,27.8,17.4,69,4.2
Torrey Craig,PHX,32,6-7,221,South Carolina Upstate,USA,Undrafted,Undrafted,Undrafted,79,7.4,5.4,1.5,-3.7,7.3,14.6,12.8,56.6,8
Trae Young,ATL,24,6-1,164,Oklahoma,USA,2018,1,5,73,26.2,3,10.2,1.3,2.1,6.2,31.3,57.3,41.4
Tre Jones,SAS,23,6-1,185,Duke,USA,2020,2,41,68,12.9,3.6,6.6,-7.8,2.6,9.9,18.9,53.4,30.6
Tre Mann,OKC,22,6-3,178,Florida,USA,2021,1,18,67,7.7,2.3,1.8,1,2.1,10.4,20,49.2,14.4
Trendon Watford,POR,22,6-8,237,Louisiana State,USA,Undrafted,Undrafted,Undrafted,62,7.4,3.8,2.1,-7.1,3.7,17.3,15.8,62.5,16.2
Trent Forrest,ATL,24,6-4,210,Florida State,USA,Undrafted,Undrafted,Undrafted,23,2.3,1.6,1.7,-10.1,1.8,11.7,11.6,42.4,18.6
Trevelin Queen,IND,26,6-6,190,New Mexico State,USA,Undrafted,Undrafted,Undrafted,7,3,2.4,0.9,9.2,8.6,13.8,19.4,33.7,10.9
Trevor Hudgins,HOU,24,6-0,180,Northwest Missouri State,USA,Undrafted,Undrafted,Undrafted,5,1.8,0,0.6,7,0,0,17.7,43.6,17.6
Trevor Keels,NYK,19,6-4,221,Duke,USA,2022,2,42,3,1,0.7,0,-94.7,0,25,21.1,37.5,0
Trey Lyles,SAC,27,6-9,234,Kentucky,Canada,2015,1,12,74,7.6,4.1,0.9,4,5.4,18.4,17.4,60.7,7.3
Trey Murphy III,NOP,22,6-8,206,Virginia,USA,2021,1,17,79,14.5,3.6,1.4,0.5,2.5,9.2,15.9,65,6.3
Troy Brown Jr.,LAL,23,6-7,215,Oregon,USA,2018,1,15,76,7.1,4.1,1.3,-0.5,3.3,12.3,11.9,56.1,6.7
Ty Jerome,GSW,25,6-5,195,Virginia,USA,2019,1,24,45,6.9,1.7,3,-5.6,0.9,9.1,14.7,59.4,23.3
TyTy Washington Jr.,HOU,21,6-3,195,Kentucky,USA,2022,1,29,31,4.7,1.5,1.5,-6.1,0.4,9.9,17,43.2,15.2
Tyler Dorsey,DAL,27,6-4,180,Oregon,USA,2017,2,41,3,3,0.7,0,7,10,10,22.7,90,0
Tyler Herro,MIA,23,6-5,195,Kentucky,USA,2019,1,13,67,20.1,5.4,4.2,2.7,1.2,15.4,25,56.6,19
Tyrese Haliburton,IND,23,6-5,185,Iowa State,USA,2020,1,12,56,20.7,3.7,10.4,-1,1.8,9.2,23.8,62.4,45.7
Tyrese Martin,ATL,24,6-6,215,Connecticut,USA,2022,2,51,16,1.3,0.8,0.1,2.3,6.5,10.9,16.4,44,4.4
Tyrese Maxey,PHI,22,6-2,200,Kentucky,USA,2020,1,21,60,20.3,2.9,3.5,5.4,1.2,7.9,23.6,60.5,16.7
Tyus Jones,MEM,27,6-2,196,Duke,USA,2015,1,24,80,10.3,2.5,5.2,2,1.4,8.4,17.5,54.6,28.6
Udoka Azubuike,UTA,23,6-11,270,Kansas,Nigeria,2020,1,27,36,3.5,3.3,0.3,-11.7,8.2,22.4,11.3,77.4,4.3
Udonis Haslem,MIA,42,6-7,235,Florida,USA,Undrafted,Undrafted,Undrafted,7,3.9,1.6,0,-11.8,4.7,10.1,18.5,43.3,0
Usman Garuba,HOU,21,6-8,229,None,Spain,2021,1,23,75,3,4.1,0.9,-12.2,11,19.4,9.9,56.9,9.6
Vernon Carey Jr.,UTA,22,6-10,270,Duke,USA,2020,2,32,11,0.5,1,0.3,-17.3,8.1,29.6,14.7,33.8,21.4
Victor Oladipo,MIA,31,6-3,213,Indiana,USA,2013,1,2,42,10.7,3,3.5,-1.5,1.4,10.9,20.4,51.3,20.6
Vince Williams Jr.,MEM,22,6-4,205,Virginia Commonwealth,USA,2022,2,47,15,2,1,0.3,-14.8,3,12,17.6,36.7,6.2
Vit Krejci,ATL,22,6-8,195,None,Czech Republic,2020,2,37,29,1.2,0.9,0.6,-1.8,3.6,12.5,10.8,47.5,13.7
Vlatko Cancar,DEN,26,6-8,236,None,Slovenia,2017,2,49,60,5,2.1,1.3,-3.9,2.7,11.9,13.4,60.6,12.5
Walker Kessler,UTA,21,7-0,245,Auburn,USA,2022,1,22,74,9.2,8.4,0.9,3,13.3,20.5,13,70.2,5.7
Wendell Carter Jr.,ORL,24,6-10,270,Duke,USA,2018,1,7,57,15.2,8.7,2.3,-0.8,7.4,22.1,20.4,62.1,11.9
Wendell Moore Jr.,MIN,21,6-5,215,Duke,USA,2022,1,26,29,1.4,0.6,0.6,-13.5,2.5,8.6,13.9,46.5,16.2
Wenyen Gabriel,LAL,26,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,68,5.5,4.2,0.5,-0.2,11.1,15.2,13.5,62.6,4.9
Wesley Matthews,MIL,36,6-5,220,Marquette,USA,Undrafted,Undrafted,Undrafted,52,3.4,2.2,0.7,2.8,4,8.7,9.5,51.9,5.3
Will Barton,TOR,32,6-5,181,Memphis,USA,2012,2,40,56,6.8,2.4,2,-8.4,1.4,12.5,18.2,49.3,16.2
Willy Hernangomez,NOP,29,6-11,250,None,Spain,2015,2,35,38,6.9,4.7,0.9,1.7,11.8,26.2,22.2,61,11.4
Xavier Cooks,WAS,27,6-8,183,Winthrop,Australia,Undrafted,Undrafted,Undrafted,10,3.8,3.8,0.6,7.4,11.3,15.2,12.7,58.6,6.1
Xavier Moon,LAC,28,6-0,165,Morehead State,USA,Undrafted,Undrafted,Undrafted,4,1.8,0.8,1.3,9.8,0,15,23.3,38.9,45.5
Xavier Sneed,CHA,25,6-5,215,Kansas State,USA,Undrafted,Undrafted,Undrafted,4,4.3,1.3,1.3,-24.8,0,8.5,13.6,72.3,16.7
Xavier Tillman,MEM,24,6-7,245,Michigan State,USA,2020,2,35,61,7,5,1.6,0.7,9.5,15.5,13.6,62.1,10.9
Yuta Watanabe,BKN,28,6-8,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,58,5.6,2.4,0.8,-0.6,3.4,11.7,12.7,63.7,7.1
Zach Collins,SAS,25,6-11,250,Gonzaga,USA,2017,1,10,63,11.6,6.4,2.9,-7.5,7.6,19,20.9,59.9,18
Zach LaVine,CHI,28,6-5,200,UCLA,USA,2014,1,13,77,24.8,4.5,4.2,0.3,1.6,10.8,27.8,60.7,18.7
Zeke Nnaji,DEN,22,6-9,240,Arizona,USA,2020,1,22,53,5.2,2.6,0.3,-5.9,8.7,9.9,14.9,62,4
Ziaire Williams,MEM,21,6-9,185,Stanford,USA,2021,1,10,37,5.7,2.1,0.9,-5.2,2.8,10.5,17.8,51.1,8.6
Zion Williamson,NOP,22,6-6,284,Duke,USA,2019,1,1,29,26,7,4.6,7.8,6,14.8,28.8,65.2,23.1
