PLAYER,TEAM,YEAR,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
Isaac Okoro,CLE,2022,67,34,33,29.6,11447.6,2.17,1.1,1.07,4.11,4.1,4.13
Isaiah Hartenstein,LAC,2022,68,37,31,17.9,7408.9,1.4,0.75,0.65,4.37,4.66,4.08
Isaiah Jackson,IND,2022,36,9,27,15,6179.9,1.17,0.62,0.55,4.38,4.84,3.99
Isaiah Joe,PHI,2022,55,35,20,11.1,4628.6,0.88,0.46,0.42,4.43,4.64,4.23
Isaiah Livers,DET,2022,19,8,11,20.2,8312.2,1.57,0.84,0.73,4.36,4.66,4.09
Isaiah Roby,OKC,2022,45,10,35,21.1,8095.3,1.53,0.85,0.68,4.23,4.7,3.77
Isaiah Stewart,DET,2022,70,21,49,25.6,9839.4,1.86,0.99,0.87,4.09,4.34,3.84
Isaiah Thomas,CHA,2022,22,12,10,15.2,5916.6,1.12,0.61,0.51,4.14,4.52,3.72
Isaiah Todd,WAS,2022,12,1,11,6.2,2485.3,0.47,0.25,0.22,4.24,4.6,3.88
Ish Smith,WAS,2022,64,27,37,17.4,7078.1,1.34,0.76,0.59,4.4,4.91,3.87
Ish Wainright,PHX,2022,44,35,9,7.9,3328.4,0.63,0.34,0.29,4.37,4.68,4.09
Ivica Zubac,LAC,2022,76,40,36,24.4,9292.8,1.76,0.94,0.82,4.09,4.32,3.86
JT Thor,CHA,2022,33,18,15,7.9,3220.2,0.61,0.33,0.28,4.36,4.7,4.02
Ja Morant,MEM,2022,56,35,21,33.3,12745.3,2.41,1.32,1.09,4.13,4.49,3.77
JaMychal Green,DEN,2022,67,36,31,16.2,6258.8,1.19,0.64,0.55,4.15,4.38,3.91
JaQuori McLaughlin,DAL,2022,4,2,2,2.7,1175.8,0.22,0.12,0.1,4.44,4.92,3.95
JaVale McGee,PHX,2022,74,57,17,15.8,5862.2,1.11,0.6,0.51,4.01,4.33,3.69
Jabari Parker,BOS,2022,12,4,8,9.4,3663.3,0.69,0.36,0.33,4.15,4.55,3.79
Jaden McDaniels,MIN,2022,70,40,30,25.8,10878.9,2.06,1.07,0.99,4.51,4.85,4.2
Jaden Springer,PHI,2022,2,2,0,2.8,1133,0.21,0.12,0.09,3.74,3.51,3.99
Jae Crowder,PHX,2022,67,54,13,28.1,10620.7,2.01,1.09,0.93,4.09,4.52,3.67
Jae'Sean Tate,HOU,2022,78,19,59,26.4,10317.5,1.95,1.05,0.91,4.16,4.43,3.88
Jahmi'us Ramsey,SAC,2022,19,2,17,7,2858.4,0.54,0.28,0.26,4.27,4.56,3.99
Jaime Echenique,WAS,2022,1,1,0,3.1,1022,0.19,0.11,0.09,3.78,3.4,4.25
Jake Layman,MIN,2022,34,20,14,6.8,2792.4,0.53,0.28,0.25,4.31,4.74,3.91
Jakob Poeltl,SAS,2022,68,30,38,29,11860,2.25,1.18,1.06,4.37,4.76,4.01
Jalen Brunson,DAL,2022,79,50,29,31.9,12348.4,2.34,1.31,1.03,4.12,4.41,3.8
Jalen Green,HOU,2022,67,12,55,31.9,12865.6,2.44,1.36,1.08,4.29,4.72,3.84
Jalen Johnson,ATL,2022,22,14,8,5.5,2231.2,0.42,0.22,0.2,4.27,4.52,4.03
Jalen McDaniels,CHA,2022,54,34,20,16.3,6814.4,1.29,0.7,0.59,4.44,4.88,4.01
Jalen Smith,IND,2022,50,28,22,17.8,7216,1.37,0.73,0.64,4.27,4.56,4
Jalen Suggs,ORL,2022,48,16,32,27.2,11006.8,2.08,1.14,0.94,4.32,4.8,3.84
James Bouknight,CHA,2022,30,15,15,10,4234.2,0.8,0.42,0.38,4.47,4.89,4.08
James Ennis III,DEN,2022,7,3,4,7.9,3334.1,0.63,0.34,0.29,4.39,4.95,3.85
James Harden,PHI,2022,65,40,25,37.2,12569.8,2.38,1.32,1.06,3.6,3.95,3.25
James Johnson,BKN,2022,62,30,32,19.2,7169.1,1.36,0.72,0.64,4.05,4.34,3.76
Jamorko Pickett,DET,2022,13,4,9,13.6,5454.1,1.03,0.54,0.49,4.25,4.48,4.09
Jared Butler,UTA,2022,42,31,11,8.6,3267.4,0.62,0.34,0.28,4.03,4.37,3.67
Jared Harper,NOP,2022,5,2,3,8.6,3364.8,0.64,0.36,0.27,4.14,4.71,3.59
Jaren Jackson Jr.,MEM,2022,77,52,25,27.3,10555.6,2,1.06,0.93,4.16,4.45,3.88
Jarred Vanderbilt,MIN,2022,74,41,33,25.4,10698.8,2.03,1.07,0.96,4.53,4.83,4.24
Jarrett Allen,CLE,2022,56,35,21,32.3,11907.5,2.26,1.23,1.03,3.93,4.12,3.73
Jarrett Culver,MEM,2022,36,27,9,9.2,3563.3,0.67,0.36,0.32,4.12,4.33,3.91
Jarron Cumberland,POR,2022,3,0,3,4.1,1550.7,0.29,0.15,0.14,4.04,4.73,3.41
Javin DeLaurier,MIL,2022,1,1,0,2.8,1461,0.28,0.15,0.13,5.69,3.68,3.92
Javonte Green,CHI,2022,65,38,27,23.4,9324.2,1.77,0.92,0.85,4.34,4.52,4.15
Javonte Smart,MIA,2022,17,11,6,11.8,4720.9,0.89,0.48,0.42,4.26,4.52,3.99
Jaxson Hayes,NOP,2022,69,28,41,20.1,7733.4,1.46,0.77,0.69,4.1,4.31,3.88
Jay Huff,LAL,2022,4,0,4,5.1,1992,0.38,0.19,0.19,4.14,4.28,4.03
Jay Scrubb,LAC,2022,17,8,9,7,2915.5,0.55,0.28,0.27,4.3,4.58,4.06
Jaylen Brown,BOS,2022,65,43,22,33.6,12569.9,2.38,1.28,1.1,4.03,4.32,3.74
Jaylen Hoard,OKC,2022,7,2,5,34.2,13995.7,2.65,1.45,1.2,4.38,4.59,4.15
Jaylen Morris,SAS,2022,3,0,3,5.3,2251.3,0.43,0.24,0.19,4.55,5.14,4.02
Jaylen Nowell,MIN,2022,62,37,25,15.7,6362,1.2,0.63,0.58,4.27,4.61,3.95
Jaysean Paige,DET,2022,1,1,0,6.6,2933,0.56,0.3,0.25,4.85,4.65,5.08
Jayson Tatum,BOS,2022,75,49,26,35.9,12791.3,2.42,1.32,1.11,3.83,4.16,3.51
Jeff Dowtin Jr.,ORL,2022,9,4,5,12,4708.4,0.89,0.48,0.41,4.16,4.4,3.91
Jeff Green,DEN,2022,75,44,31,24.6,8800.1,1.67,0.87,0.79,3.86,3.99,3.74
Jemerrio Jones,LAL,2022,2,0,2,7.4,3019.5,0.57,0.3,0.27,4.29,5.25,3.52
Jerami Grant,DET,2022,47,11,36,31.9,12082.7,2.29,1.28,1.01,4.03,4.48,3.57
Jeremiah Robinson-Earl,OKC,2022,49,15,34,22.2,9120.5,1.73,0.94,0.79,4.39,4.83,3.97
Jeremy Lamb,SAC,2022,56,23,33,16.7,6494.7,1.23,0.68,0.55,4.2,4.63,3.77
Jericho Sims,NYK,2022,41,19,22,13.5,5343.2,1.01,0.54,0.47,4.19,4.41,3.95
Jevon Carter,MIL,2022,66,39,27,13.7,5692.8,1.08,0.54,0.54,4.42,4.59,4.26
Jimmy Butler,MIA,2022,57,38,19,33.9,12870.9,2.44,1.29,1.15,4.03,4.26,3.81
Jock Landale,SAS,2022,54,24,30,10.9,4447.1,0.84,0.45,0.39,4.3,4.71,3.92
Joe Harris,BKN,2022,14,10,4,30.2,12387.9,2.35,1.3,1.04,4.4,4.81,3.97
Joe Ingles,POR,2022,45,28,17,24.9,9619.7,1.82,0.99,0.84,4.09,4.37,3.8
Joe Johnson,BOS,2022,1,1,0,1.9,799,0.15,0.1,0.06,5.3,4.66,6.15
Joe Wieskamp,SAS,2022,29,11,18,7.1,2990.6,0.57,0.31,0.26,4.47,4.91,4.04
Joel Ayayi,WAS,2022,7,1,6,2.9,1206.9,0.23,0.12,0.11,4.42,4.84,4.07
Joel Embiid,PHI,2022,68,45,23,33.8,11744.1,2.22,1.17,1.05,3.73,3.91,3.55
John Collins,ATL,2022,54,26,28,30.8,11925.4,2.26,1.2,1.05,4.13,4.42,3.84
John Konchar,MEM,2022,72,48,24,17.9,7437.1,1.41,0.75,0.66,4.44,4.7,4.18
Jon Teske,MEM,2022,2,2,0,2.3,881,0.17,0.11,0.06,3.66,3.62,3.72
Jonas Valanciunas,NOP,2022,73,33,40,30.3,11127.2,2.11,1.13,0.98,3.93,4.13,3.72
Jonathan Kuminga,GSW,2022,69,44,25,16.9,6832,1.29,0.68,0.61,4.29,4.63,3.97
Jordan Bell,CHI,2022,1,1,0,2,954,0.18,0.11,0.08,5.29,4.85,5.81
Jordan Clarkson,UTA,2022,79,47,32,27.1,10754.9,2.04,1.13,0.9,4.21,4.61,3.8
