PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Spencer Dinwiddie,BKN,2023,30,79,41,38,34.5,17.3,5.8,13.3,43.8,2.3,6.2,36.9,3.4,4.2,81.2,0.4,3.1,3.4,6.5,1.8,0.8,0.3,2.4,32.8,9,0,-0.1
Andrew Wiggins,GSW,2023,28,37,19,18,32.2,17.1,6.8,14.3,47.3,2.4,6.1,39.6,1.2,1.9,61.1,1.6,3.4,5,2.3,1.3,1.2,0.8,2.9,31.2,3,0,3.2
Norman Powell,LAC,2023,30,60,31,29,26.1,17,5.7,11.8,47.9,1.9,4.8,39.7,3.8,4.6,81.2,0.4,2.5,2.9,1.8,1.7,0.8,0.3,2.1,24.9,0,0,-2.1
Buddy Hield,IND,2023,30,80,35,45,31,16.8,5.9,13,45.8,3.6,8.5,42.5,1.3,1.6,82.2,0.8,4.2,5,2.8,1.7,1.2,0.3,2,29.7,3,0,-1.1
O.G. Anunoby,TOR,2023,25,67,33,34,35.6,16.8,6.3,13.2,47.6,2.1,5.5,38.7,2.1,2.5,83.8,1.4,3.5,5,2,2,1.9,0.7,3,31.7,2,0,2
Bennedict Mathurin,IND,2023,20,78,33,45,28.5,16.7,5.3,12.2,43.4,1.3,4,32.3,4.8,5.8,82.8,1.1,3,4.1,1.5,1.9,0.6,0.2,2.1,24.2,0,0,-2.3
Christian Wood,DAL,2023,27,67,33,34,25.9,16.6,5.9,11.5,51.5,1.6,4.2,37.6,3.2,4.2,77.2,1.3,6,7.3,1.8,1.8,0.4,1.1,2.5,30.9,12,0,-0.7
Josh Giddey,OKC,2023,20,76,34,42,31.1,16.6,7.1,14.7,48.2,1,3.1,32.5,1.4,1.9,73.1,1.9,5.9,7.9,6.2,2.8,0.8,0.4,1.9,36,28,4,-1.4
Aaron Gordon,DEN,2023,27,68,45,23,30.2,16.3,6.3,11.2,56.4,0.9,2.5,34.7,2.8,4.6,60.8,2.4,4.1,6.6,3,1.4,0.8,0.8,1.9,31.8,11,0,7.6
Jaden Ivey,DET,2023,21,74,16,58,31.1,16.3,5.5,13.3,41.6,1.6,4.7,34.3,3.6,4.8,74.7,1,2.9,3.9,5.2,3.2,0.8,0.2,3.3,28.7,8,0,-8.7
Evan Mobley,CLE,2023,21,79,48,31,34.4,16.2,6.6,12,55.4,0.3,1.3,21.6,2.6,3.8,67.4,2.4,6.6,9,2.8,1.8,0.8,1.5,2.8,36.2,24,0,4.3
RaiQuan Gray,BKN,2023,23,1,0,1,35.1,16,6,12,50,2,5,40,2,2,100,3,6,9,7,4,0,1,5,36.3,0,0,-14
Brook Lopez,MIL,2023,35,78,57,21,30.4,15.9,6.1,11.5,53.1,1.7,4.7,37.4,1.9,2.4,78.4,2,4.7,6.7,1.3,1.4,0.5,2.5,2.6,33.3,11,0,5.1
Russell Westbrook,LAC,2023,34,73,36,37,29.1,15.9,5.9,13.6,43.6,1.2,3.9,31.1,2.8,4.3,65.6,1.2,4.6,5.8,7.5,3.5,1,0.5,2.2,35.1,24,4,-0.3
P.J. Washington,CHA,2023,24,73,24,49,32.6,15.7,5.9,13.4,44.4,2,5.9,34.8,1.7,2.4,73,1,3.9,4.9,2.4,1.5,0.9,1.1,2.6,29.6,3,0,-5.1
Cameron Johnson,BKN,2023,27,42,25,17,28.6,15.5,5.3,11.3,47,2.5,6.1,40.4,2.4,2.9,84.2,0.8,3.6,4.4,1.9,0.9,1.2,0.3,2,27.2,1,0,3.7
De'Andre Hunter,ATL,2023,25,67,35,32,31.7,15.4,5.7,12.3,46.1,1.5,4.3,35,2.6,3.1,82.6,0.7,3.6,4.2,1.4,1.2,0.5,0.3,3,23.7,1,0,-0.3
Skylar Mays,POR,2023,25,6,1,5,31.5,15.3,5.7,11.3,50,2,4.3,46.2,2,2.2,92.3,0.3,2.8,3.2,8.3,1.7,1,0.2,1.8,33.5,1,0,-12.3
Scottie Barnes,TOR,2023,21,77,38,39,34.8,15.3,6,13.2,45.6,0.8,2.9,28.1,2.5,3.2,77.2,2.3,4.3,6.6,4.8,2,1.1,0.8,2.2,34.1,15,1,2.3
Wendell Carter Jr.,ORL,2023,24,57,26,31,29.6,15.2,5.6,10.8,52.5,1.4,3.9,35.6,2.5,3.4,73.8,2.1,6.6,8.7,2.3,1.9,0.5,0.6,2.8,30.6,21,0,-0.7
Kevin Huerter,SAC,2023,24,75,44,31,29.4,15.2,5.6,11.5,48.5,2.7,6.8,40.2,1.3,1.7,72.5,0.6,2.8,3.3,2.9,1.3,1.1,0.3,2.4,26.5,0,0,3
Khris Middleton,MIL,2023,31,33,25,8,24.3,15.1,5.4,12.3,43.6,1.5,4.9,31.5,2.8,3.1,90.2,0.8,3.4,4.2,4.9,2.2,0.7,0.2,2.1,28,4,0,4
