PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Joe Ingles,MIL,2023,35,46,32,14,22.7,6.9,2.3,5.4,43.5,1.8,4.4,40.9,0.4,0.5,85.7,0.3,2.5,2.8,3.3,1.2,0.7,0.1,1.6,16.5,1,0,1.7
Jae Crowder,MIL,2023,32,18,13,5,18.9,6.9,2.5,5.2,47.9,1.3,3.1,43.6,0.6,0.7,83.3,0.9,2.9,3.8,1.5,0.4,0.7,0.3,1.5,16.4,0,0,0
Cory Joseph,DET,2023,31,62,12,50,19.8,6.9,2.4,5.7,42.7,1.1,2.9,38.9,0.9,1.2,79.2,0.3,1.4,1.7,3.5,0.9,0.5,0.1,1.4,15.4,0,0,-1.8
Ty Jerome,GSW,2023,25,45,22,23,18.1,6.9,2.6,5.4,48.8,0.8,2,38.9,0.8,0.9,92.7,0.2,1.6,1.7,3,0.7,0.5,0.1,1.4,14.6,0,0,-2
Aaron Wiggins,OKC,2023,24,70,37,33,18.5,6.8,2.7,5.2,51.2,0.7,1.7,39.3,0.8,1,83.1,1,2,3,1.1,0.8,0.6,0.2,1.6,13.7,1,0,0.1
Jeremiah Robinson-Earl,OKC,2023,22,43,16,27,18.9,6.8,2.6,5.8,44.4,0.9,2.6,33.3,0.8,1,83.3,1.7,2.5,4.2,1,0.4,0.6,0.3,1.7,15.3,1,0,-0.2
Larry Nance Jr.,NOP,2023,30,65,34,31,21.2,6.8,2.9,4.7,61,0.2,0.6,33.3,0.8,1.2,69.6,1.6,3.8,5.4,1.8,0.6,0.9,0.6,2,19.7,3,0,2.8
Will Barton,TOR,2023,32,56,27,29,17.7,6.8,2.5,6.5,37.9,1.2,3.2,36.7,0.7,0.8,78.7,0.3,2.2,2.4,2,0.9,0.5,0.2,1,14,0,0,-3
Justise Winslow,POR,2023,27,29,15,14,26.8,6.8,2.8,6.8,40.9,0.5,1.6,31.1,0.7,1,71.4,1.7,3.3,5,3.4,1.5,1,0.4,3.1,20.6,1,0,-1.3
Terence Davis,SAC,2023,26,64,38,26,13.1,6.7,2.4,5.7,42.3,1.4,3.8,36.6,0.5,0.7,79.1,0.3,1.9,2.2,1,0.8,0.7,0.2,1.6,12.7,0,0,0.7
Theo Maledon,CHA,2023,21,44,14,30,19.4,6.7,2.3,5.8,40.2,0.6,2.2,29.5,1.4,1.7,85.1,0.3,2.5,2.8,3.5,1.3,0.8,0.3,1.4,17.2,1,0,-3.3
Anthony Lamb,GSW,2023,25,62,36,26,19.3,6.7,2.4,5.1,47.1,1.2,3.2,36.7,0.7,1,76.7,0.9,2.6,3.5,1.5,0.9,0.5,0.3,2.2,14.6,0,0,0.5
Dwight Powell,DAL,2023,31,76,37,39,19.2,6.7,2.6,3.5,73.2,0,0.1,0,1.5,2.2,66.7,2,2.2,4.1,0.9,0.9,0.6,0.3,2.8,15,1,0,2.2
David Roddy,MEM,2023,22,70,44,26,18,6.7,2.6,6,42.9,0.9,3,30.7,0.6,0.9,63.1,0.7,2,2.8,0.8,0.8,0.4,0.3,1.5,12.5,0,0,-0.9
Isaiah Livers,DET,2023,24,52,10,42,23.1,6.7,2.3,5.5,41.7,1.4,3.9,36.5,0.6,0.8,82.1,0.5,2.2,2.8,0.8,0.6,0.5,0.5,2,13.8,1,0,-3.9
Nassir Little,POR,2023,23,54,22,32,18.1,6.6,2.5,5.6,44.2,1.1,2.9,36.7,0.6,0.9,71.7,0.5,2.1,2.6,0.9,0.7,0.4,0.4,1.2,12.7,0,0,-3.5
Drew Eubanks,POR,2023,26,78,31,47,20.3,6.6,2.7,4.3,64.1,0.1,0.2,38.9,1.1,1.6,66.4,1.7,3.7,5.4,1.3,0.9,0.5,1.3,2.2,19.7,3,0,-1.7
Jock Landale,PHX,2023,27,69,35,34,14.2,6.6,2.6,4.9,52.8,0.3,1.2,25,1.1,1.5,75.2,1.7,2.3,4.1,1,0.9,0.2,0.4,1.8,14.1,3,0,2
Mo Bamba,LAL,2023,25,49,25,24,15.7,6.6,2.4,4.9,48.5,1,2.5,38.7,0.8,1.3,66.1,1.2,3.4,4.6,0.9,0.6,0.3,0.9,2.1,16.3,2,0,0.2
Kevin Knox II,POR,2023,23,63,12,51,15.1,6.6,2.4,5.3,45.8,1,3,34.9,0.7,1,76.7,0.5,2.3,2.8,0.5,0.8,0.4,0.2,1.5,11.7,2,0,-3.6
Jordan Goodwin,WAS,2023,24,62,22,40,17.8,6.6,2.5,5.7,44.8,0.6,1.9,32.2,0.9,1.1,76.8,0.9,2.4,3.3,2.7,0.9,0.9,0.4,1.5,17.7,0,0,-1.9
Cody Zeller,MIA,2023,30,15,6,9,14.4,6.5,2.5,3.9,62.7,0,0.1,0,1.6,2.3,68.6,1.7,2.6,4.3,0.7,0.9,0.2,0.3,2.2,13.1,0,0,-3.2
Brandon Boston Jr.,LAC,2023,21,22,9,13,11.3,6.5,2.3,5.5,41.8,0.5,1.3,41.4,1.3,1.7,76.3,0.3,1,1.4,0.9,0.5,0.4,0,1,10.2,0,0,-2
Jay Scrubb,ORL,2023,22,2,1,1,15.1,6.5,2.5,3.5,71.4,1,1,100,0.5,1,50,0,3,3,0.5,1.5,1,0,1,12.4,0,0,-8
Luka Garza,MIN,2023,24,28,15,13,8.7,6.5,2.3,4.1,54.3,0.5,1.4,35.9,1.5,1.9,78.8,1.2,1.1,2.3,0.6,0.5,0.1,0.1,1.5,10.2,0,0,0.6
Isaac Okoro,CLE,2023,22,76,48,28,21.7,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1,1.4,75.7,0.7,1.8,2.5,1.1,0.6,0.7,0.4,2.1,14,0,0,1.7
R.J. Hampton,DET,2023,22,47,9,38,15.9,6.4,2.2,5,43,0.9,2.5,35.3,1.2,1.6,75,0.4,1.5,1.9,1.1,0.9,0.6,0.2,1.1,11.8,0,0,-3
JaMychal Green,GSW,2023,32,57,30,27,14,6.4,2.4,4.4,54,0.7,1.9,37.8,0.9,1.2,77.6,1.3,2.3,3.6,0.9,0.9,0.4,0.4,1.8,13.7,0,0,-2.7
Sam Hauser,BOS,2023,25,80,55,25,16.1,6.4,2.3,5,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.4,0.3,1.2,12.3,0,0,2.7
Duncan Robinson,MIA,2023,29,42,19,23,16.4,6.4,2.1,5.6,37.1,1.5,4.6,32.8,0.7,0.8,90.6,0.2,1.5,1.6,1.1,0.7,0.3,0,1.8,10.3,0,0,-1.3
Dario Saric,OKC,2023,29,57,26,31,14.1,6.4,2.2,4.9,45.8,0.8,2,39.1,1.1,1.3,82.9,0.9,2.7,3.6,1.3,1,0.4,0.1,1.7,13.1,2,0,0.6
Simone Fontecchio,UTA,2023,27,52,25,27,14.7,6.3,2.2,6,36.9,1.2,3.7,33,0.7,0.8,79.5,0.6,1.1,1.7,0.8,0.8,0.3,0.2,1.2,10.1,0,0,-3.9
Goran Dragic,MIL,2023,37,58,27,31,15,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,1.1,0.2,0.1,1.1,11.7,0,0,0.1
Quenton Jackson,WAS,2023,24,9,3,6,15,6.2,2.1,4.7,45.2,0.1,1.3,8.3,1.9,2.4,77.3,0.2,0.7,0.9,1.7,0.4,0.4,0.1,1.1,11,0,0,-1.9
Patrick Beverley,CHI,2023,34,67,34,33,27.1,6.2,2.1,5.4,40,1.2,3.6,33.5,0.7,1,72.3,0.7,3,3.7,2.9,0.9,0.9,0.6,2.8,18.7,2,0,-1.2
Jared Butler,OKC,2023,22,6,3,3,12.8,6.2,2.5,5.3,46.9,1.2,2.3,50,0,0,0,0.2,0.5,0.7,1.3,0.8,0.8,0,0.8,10.6,0,0,-0.2
Nickeil Alexander-Walker,MIN,2023,24,59,29,30,15,6.2,2.2,5,44.4,1,2.7,38.4,0.7,1,66.7,0.3,1.5,1.7,1.8,0.9,0.5,0.4,1.5,12.7,0,0,-0.9
Patty Mills,BKN,2023,34,40,18,22,14.2,6.2,2.2,5.2,41.1,1.2,3.4,36.6,0.6,0.8,83.3,0.2,0.9,1.1,1.4,0.8,0.4,0.1,0.8,10.2,0,0,-1.7
Nicolas Batum,LAC,2023,34,78,44,34,21.9,6.1,2.1,4.9,42,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3,3.8,1.6,0.6,0.7,0.6,1.9,16.2,0,0,2.1
Oshae Brissett,IND,2023,24,65,27,38,16.7,6.1,1.9,4.9,38.6,0.7,2.4,31,1.6,2.2,71.7,1,2.4,3.4,0.7,0.5,0.5,0.2,1.2,12.8,1,0,0.3
Sandro Mamukelashvili,SAS,2023,24,43,23,20,15.3,6.1,2.3,5.3,42.2,0.7,2.3,30.3,0.9,1.3,68.4,1.6,2.7,4.3,1.4,0.8,0.3,0.3,1.2,14.4,2,0,-2.7
Evan Fournier,NYK,2023,30,27,15,12,17,6.1,2.1,6.1,33.7,1.3,4.2,30.7,0.7,0.8,85.7,0.1,1.7,1.8,1.3,0.8,0.6,0.1,1.7,11.6,0,0,-2
Mike Muscala,BOS,2023,31,63,32,31,15,6.1,2.1,4.6,44.9,1.3,3.3,39.1,0.6,0.8,76.9,0.6,2.6,3.2,0.8,0.4,0.2,0.4,1.6,12.6,0,0,3.2
Saben Lee,PHX,2023,23,25,15,10,14.9,6,2,4.8,40.5,0.4,1.2,36.7,1.7,2.3,73.7,0.5,1.3,1.8,2.7,1,0.8,0,1.3,13.7,1,0,-1.2
Robert Covington,LAC,2023,32,48,20,28,16.2,6,2.1,4.8,44.5,1.1,2.8,39.7,0.6,0.8,75,0.6,2.8,3.5,1.2,0.7,0.8,0.7,1.8,15.7,0,0,-0.1
Andre Drummond,CHI,2023,29,67,32,35,12.7,6,2.5,4.1,60.6,0,0,0,1,1.9,53.6,2.1,4.6,6.6,0.5,1.1,0.7,0.4,1.7,16.8,8,0,0.4
Maxi Kleber,DAL,2023,31,37,18,19,25.1,5.9,2.1,4.6,45.6,1.1,3,34.8,0.7,1,71.1,0.8,2.8,3.6,1.4,0.7,0.3,0.8,2.3,15.1,0,0,-1.2
Jaylin Williams,OKC,2023,20,49,23,26,18.7,5.9,2.1,4.8,43.6,0.9,2.3,40.7,0.8,1.1,70.4,0.9,4,4.9,1.6,0.8,0.6,0.2,2.3,15.8,0,0,-1.8
Johnny Davis,WAS,2023,21,28,10,18,15.1,5.8,2.4,6.1,38.6,0.6,2.5,24.3,0.5,1,51.9,0.4,2,2.3,1,0.6,0.4,0.3,1.7,11.4,0,0,-1.9
Josh Christopher,HOU,2023,21,64,16,48,12.3,5.8,2.4,5.1,46.5,0.3,1.4,23.6,0.7,0.9,75,0.3,0.8,1.1,1.1,0.9,0.5,0.2,0.9,10.2,0,0,-3.5
Stanley Johnson,SAS,2023,27,30,5,25,15.6,5.8,2.2,4.1,53.3,0.6,1.3,45,0.9,1.3,66.7,0.7,2.4,3.2,2.2,1.1,0.5,0.2,1.6,14.1,0,0,-3.1
Rodney McGruder,DET,2023,31,32,4,28,16.4,5.7,1.9,4.8,40.8,1.3,3,42.3,0.6,0.7,81.8,0.6,1.7,2.3,0.9,0.3,0.5,0,1.2,11.1,0,0,-1.4
Charles Bassey,SAS,2023,22,35,9,26,14.5,5.7,2.5,3.9,64.4,0.1,0.2,37.5,0.6,1.1,59.5,2.1,3.4,5.5,1.4,1.2,0.5,0.9,2.1,17.4,0,0,-0.9
Ziaire Williams,MEM,2023,21,37,21,16,15.2,5.7,2.3,5.3,42.9,0.7,2.6,25.8,0.5,0.6,77.3,0.4,1.7,2.1,0.9,1,0.4,0.2,1.6,10.3,0,0,-2.1
Jalen Johnson,ATL,2023,21,70,35,35,14.9,5.6,2.3,4.6,49.1,0.4,1.5,28.8,0.7,1.1,62.8,0.7,3.3,4,1.2,0.6,0.5,0.5,1.6,14.8,1,0,-0.1
Derrick Rose,NYK,2023,34,27,12,15,12.5,5.6,2.3,5.9,38.4,0.7,2.3,30.2,0.4,0.4,91.7,0.3,1.2,1.5,1.7,0.8,0.3,0.2,0.7,10.5,0,0,-1.1
Davion Mitchell,SAC,2023,24,80,47,33,18.1,5.6,2.3,5,45.4,0.8,2.5,32,0.3,0.4,80.6,0.2,1.1,1.3,2.3,0.8,0.6,0.2,1.4,12.1,0,0,0
Payton Pritchard,BOS,2023,25,48,32,16,13.4,5.6,2.1,5.1,41.2,1.2,3.2,36.4,0.3,0.3,75,0.5,1.3,1.8,1.3,0.8,0.3,0,0.8,9.9,1,1,0.3
James Bouknight,CHA,2023,22,34,9,25,15.2,5.6,2,5.7,35.8,1,3.2,30.3,0.6,0.9,66.7,0.2,1.9,2.1,1.2,0.9,0.4,0.1,1.4,10.7,0,0,-2.9
Montrezl Harrell,PHI,2023,29,57,35,22,11.9,5.6,2.2,3.7,59.8,0,0.1,0,1.2,1.8,69.3,1.2,1.6,2.8,0.6,0.6,0.3,0.4,1.3,11.4,1,0,0.3
Alex Caruso,CHI,2023,29,67,33,34,23.5,5.6,1.9,4.3,45.5,0.8,2.3,36.4,0.9,1.1,80.8,0.6,2.3,2.9,2.9,1.1,1.5,0.7,2.4,18.7,1,0,3
Yuta Watanabe,BKN,2023,28,58,30,28,16,5.6,2,4,49.1,1,2.3,44.4,0.6,0.8,72.3,0.5,1.9,2.4,0.8,0.4,0.4,0.3,1.4,11.5,0,0,-0.1
Danny Green,CLE,2023,35,11,6,5,12.6,5.5,2,4.5,44.9,1.5,3.4,43.2,0.1,0.1,100,0.3,1,1.3,0.5,0.9,0.5,0.3,1.5,9.4,0,0,-1.5
Jarrell Brantley,UTA,2023,26,4,0,4,9.7,5.5,2,3.5,57.1,1,2.3,44.4,0.5,0.5,100,0.3,1.3,1.5,0.8,0.5,0,0.5,0.8,9.4,0,0,3.8
Otto Porter Jr.,TOR,2023,30,8,4,4,18.3,5.5,1.9,3.8,50,0.8,2.1,35.3,1,1,100,0.8,1.6,2.4,1,0.5,1.4,0,0.9,13.5,0,0,-2.6
Wenyen Gabriel,LAL,2023,26,68,37,31,15.1,5.5,2.3,3.8,59.6,0.1,0.5,27.8,0.8,1.2,61.9,1.7,2.5,4.2,0.5,0.7,0.4,0.5,2.1,13.3,0,0,-0.5
Nikola Jovic,MIA,2023,19,15,7,8,13.6,5.5,1.9,4.6,40.6,0.5,2.3,22.9,1.2,1.3,94.7,0.6,1.5,2.1,0.7,0.7,0.5,0.1,1.3,10.1,0,0,-1.1
Jamal Cain,MIA,2023,24,18,10,8,13.3,5.4,2.1,3.7,56.1,0.4,1.1,35,0.9,1.2,77.3,0.8,2.1,2.9,0.7,0.3,0.6,0.1,1.2,11.6,0,0,1.2
Bryce McGowens,CHA,2023,20,46,16,30,17.1,5.3,1.7,4.4,39.6,0.6,1.7,32.5,1.3,1.7,75,0.4,1.6,2,1.2,0.9,0.3,0.1,1,10,0,0,-3.3
Lamar Stevens,CLE,2023,25,62,39,23,18.1,5.3,2.1,4.6,44.8,0.5,1.5,31.6,0.6,0.9,70.2,0.8,2.6,3.3,0.5,0.4,0.4,0.3,1.3,11.9,1,0,0.1
Dewayne Dedmon,PHI,2023,33,38,23,15,11.2,5.2,2,4,51,0.3,1,30.8,0.9,1.3,67.3,0.9,2.6,3.5,0.7,0.7,0.2,0.5,2,12,0,0,-3.3
Rudy Gay,UTA,2023,36,56,29,27,14.6,5.2,1.9,5.1,37.8,0.6,2.3,25.2,0.8,0.9,85.7,0.6,2.3,2.9,1,0.7,0.3,0.3,1.2,11.6,0,0,1
Zeke Nnaji,DEN,2023,22,53,34,19,13.7,5.2,2.1,3.7,56.1,0.3,1.2,26.2,0.8,1.2,64.5,1.2,1.4,2.6,0.3,0.6,0.3,0.4,2,10.5,1,0,-1.8
Lindy Waters III,OKC,2023,25,41,20,21,12.9,5.2,1.7,4.3,39.3,1.4,4,35.8,0.4,0.5,80,0.4,1.4,1.8,0.7,0.2,0.3,0.3,1,10,0,0,3.3
Darius Bazley,PHX,2023,22,43,19,24,14.3,5.2,1.9,4.3,45.4,0.5,1.2,37.7,0.9,1.6,54.3,0.8,2.4,3.2,0.9,0.6,0.5,0.8,1,13.7,0,0,-1.6
Ricky Rubio,CLE,2023,32,33,23,10,17.2,5.2,1.8,5.4,34.3,0.6,2.5,25.6,0.8,1.1,80,0.3,1.8,2.1,3.5,0.9,0.8,0.2,1.5,14.9,0,0,1.4
Javonte Green,CHI,2023,29,32,13,19,15,5.2,1.9,3.4,56.5,0.4,1.1,37.1,0.9,1.4,66.7,0.8,1.9,2.8,0.7,0.6,0.8,0.7,1.6,13.1,0,0,1.5
MarJon Beauchamp,MIL,2023,22,52,34,18,13.5,5.1,1.8,4.7,39.5,0.9,2.7,33.1,0.5,0.7,73,0.7,1.5,2.2,0.7,0.9,0.4,0.1,1.3,9.5,0,0,-1.9
DeAndre Jordan,DEN,2023,34,39,23,16,15,5.1,2.3,2.9,76.5,0,0,100,0.6,1.2,45.8,1.3,3.8,5.2,0.9,1.2,0.3,0.6,1.8,14.1,2,0,-3.1
John Konchar,MEM,2023,27,72,45,27,20.7,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,0.9,3.4,4.3,1.4,0.5,1.1,0.3,1.6,16,2,0,2.9
George Hill,IND,2023,37,46,27,19,18.1,5,1.7,3.6,47,0.7,2.1,35.8,0.9,1.2,76.4,0.3,1.5,1.8,2.4,0.7,0.6,0.1,1.2,12.2,0,0,0.9
Cody Martin,CHA,2023,27,7,2,5,19.1,5,2,5.1,38.9,0.4,2,21.4,0.6,1,57.1,1.1,2.3,3.4,1.6,0.3,0.6,0.1,1.9,13.3,0,0,-3.7
Jonathan Isaac,ORL,2023,25,11,8,3,11.3,5,2,4.8,41.5,0.5,1.4,40,0.5,0.8,55.6,1.4,2.6,4,0.5,0.4,1.3,0.4,0.5,15.2,0,0,-1.7
Kenneth Lofton Jr.,MEM,2023,20,24,15,9,7.3,5,2,3.9,52.7,0.3,0.7,35.3,0.7,1.1,59.3,0.8,1.3,2.1,0.8,0.5,0.2,0.1,1.2,9.2,1,0,-2
Sam Merrill,CLE,2023,27,5,4,1,11.7,5,1.8,4.4,40.9,1,3.6,27.8,0.4,0.4,100,0,1.8,1.8,1,0,0.8,0,0.6,11.1,0,0,-1
Derrick Jones Jr.,CHI,2023,26,64,29,35,14,5,1.8,3.6,50,0.4,1.3,33.8,1,1.3,73.8,0.9,1.5,2.4,0.5,0.4,0.5,0.6,1.3,11.4,0,0,1.9
Blake Wesley,SAS,2023,20,37,9,28,18.1,5,1.9,5.8,32.1,0.5,1.4,38.5,0.7,1.2,59.1,0.3,1.9,2.2,2.6,1.8,0.7,0.1,1.8,12.3,0,0,-5.4
Jaxson Hayes,NOP,2023,23,47,22,25,13,5,1.8,3.3,55.1,0.1,0.6,10.3,1.2,1.8,69.9,0.8,2,2.8,0.7,0.7,0.4,0.4,1.4,11.2,0,0,-1.5
Isaiah Hartenstein,NYK,2023,25,82,47,35,19.9,5,2.1,4,53.5,0.1,0.5,21.6,0.6,0.9,67.6,2.5,4,6.5,1.2,0.8,0.6,0.8,2.6,18.1,2,0,1.8
Vlatko Cancar,DEN,2023,26,60,38,22,14.8,5,1.8,3.8,47.6,0.7,1.9,37.4,0.6,0.7,92.7,0.4,1.7,2.1,1.3,0.6,0.4,0.2,1.4,10.7,1,0,-1.1
Ousmane Dieng,OKC,2023,20,39,20,19,14.6,4.9,1.9,4.6,42,0.7,2.5,26.5,0.4,0.6,65.2,0.5,2.2,2.7,1.2,0.7,0.4,0.2,1.1,10.9,0,0,1
Austin Rivers,MIN,2023,30,52,25,27,19.5,4.9,1.8,4,43.5,0.8,2.4,35,0.6,0.8,76.9,0.1,1.5,1.6,1.4,0.4,0.5,0.1,1.5,10.4,0,0,-2.7
Chimezie Metu,SAC,2023,26,66,41,25,10.4,4.9,2,3.3,58.9,0.1,0.6,23.7,0.8,1.1,74,0.7,2.3,3,0.6,0.5,0.3,0.3,1.2,10.8,0,0,1.3
Johnny Juzang,UTA,2023,22,18,6,12,12.9,4.8,1.9,5.8,33.7,0.8,3.5,23.8,0.1,0.2,50,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,9.1,0,0,-4.8
Moses Moody,GSW,2023,21,63,37,26,13,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.5,0.3,0.1,0.9,8.7,0,0,-0.1
Danuel House Jr.,PHI,2023,29,56,38,18,14.4,4.8,1.7,3.5,47.2,0.7,2,33.6,0.8,1.1,75,0.2,1.5,1.7,0.8,0.5,0.3,0.2,1.2,8.7,0,0,-0.3
Meyers Leonard,MIL,2023,31,9,6,3,12.6,4.8,1.6,3.2,48.3,0.8,2,38.9,0.9,1,88.9,1.3,2.4,3.8,0.1,0.7,0.2,0,1.8,9.5,1,0,-3
Garrison Mathews,ATL,2023,26,54,16,38,12.7,4.8,1.4,3.7,36.3,1.2,3.3,35,0.9,1,90.6,0.2,1.1,1.4,0.5,0.4,0.4,0.1,1.1,8.4,0,0,-1.6
Chuma Okeke,ORL,2023,24,27,8,19,19.2,4.7,1.6,4.5,35.2,1,3.2,30.2,0.6,0.8,76.2,1,2.6,3.6,1.4,0.6,0.7,0.4,1.5,13.8,0,0,-4.4
Christian Braun,DEN,2023,22,76,49,27,15.5,4.7,1.9,3.8,49.5,0.4,1.3,35.4,0.5,0.8,62.5,0.6,1.8,2.4,0.8,0.5,0.5,0.2,1.3,10.6,0,0,-1.5
Day'Ron Sharpe,BKN,2023,21,48,22,26,11.5,4.7,1.9,3.6,54.4,0.1,0.2,54.5,0.7,1.1,63.6,2.1,2.1,4.2,0.8,0.9,0.3,0.7,1.9,12.9,2,0,-2.1
Keon Johnson,POR,2023,21,40,13,27,10.4,4.7,1.7,4.5,37.6,0.7,2,34.6,0.7,1,65.9,0.3,0.8,1.1,1.5,1.1,0.5,0.2,1.1,9.1,0,0,-3.8
Dean Wade,CLE,2023,26,44,30,14,20.3,4.7,1.7,4,41.2,1,2.9,35.4,0.3,0.5,65.2,0.5,3,3.4,0.8,0.4,0.6,0.5,2,13,0,0,2.5
TyTy Washington Jr.,HOU,2023,21,31,6,25,14,4.7,1.9,5.2,36.3,0.6,2.6,23.8,0.3,0.6,55.6,0.1,1.4,1.5,1.5,0.5,0.5,0.1,0.9,9.9,0,0,-1.5
Malachi Flynn,TOR,2023,25,53,29,24,13,4.6,1.6,4.6,36,0.9,2.5,35.3,0.5,0.6,75.8,0.3,1.2,1.4,1.3,0.5,0.4,0.1,1.2,9.3,0,0,-0.8
Gary Payton II,GSW,2023,30,22,13,9,16.7,4.6,1.9,3.1,59.4,0.6,1.2,50,0.3,0.3,85.7,1.1,2,3.1,1.4,0.7,1,0.2,2,13.4,0,0,1.8
Dalano Banton,TOR,2023,23,31,17,14,9,4.6,1.8,4.2,42.3,0.5,1.6,29.4,0.5,0.8,70.8,0.4,1.1,1.5,1.2,0.6,0.4,0.4,1.1,10,0,0,-1.1
Davis Bertans,DAL,2023,30,45,20,25,10.9,4.6,1.5,3.6,43.1,1.2,3.1,39,0.3,0.3,86.7,0.2,1,1.2,0.5,0.2,0.2,0.2,1.2,7.7,0,0,-0.8
Kira Lewis Jr.,NOP,2023,22,25,11,14,9.4,4.6,1.6,3.5,45.5,0.6,1.4,44.1,0.8,0.9,86.4,0.2,1.1,1.3,0.9,0.4,0.4,0.1,1,8.6,0,0,2.5
Justin Holiday,DAL,2023,34,46,18,28,15.4,4.5,1.7,4.4,37.7,1,3.1,32.2,0.1,0.2,62.5,0.1,1.1,1.2,0.9,0.5,0.4,0.4,1.5,9.2,0,0,-2.8
Omer Yurtseven,MIA,2023,24,9,5,4,9.2,4.4,1.8,3,59.3,0.3,0.8,42.9,0.6,0.7,83.3,0.9,1.7,2.6,0.2,0.4,0.2,0.2,1.8,8.7,0,0,1.1
Thaddeus Young,TOR,2023,34,54,23,31,14.7,4.4,2,3.7,54.5,0.1,0.6,17.6,0.3,0.5,69.2,1.3,1.8,3.1,1.4,0.8,1,0.1,1.6,12.7,0,0,-1.7
JaVale McGee,DAL,2023,35,42,20,22,8.4,4.4,1.9,3,64,0,0.1,40,0.6,1,58.5,0.7,1.8,2.5,0.3,0.9,0.1,0.6,1.3,9.2,0,0,-1.4
AJ Green,MIL,2023,23,35,27,8,9.9,4.4,1.5,3.6,42.4,1.3,3,41.9,0.1,0.1,100,0.2,1.1,1.3,0.6,0.3,0.2,0,0.9,7.1,0,0,-0.7
Jarrett Culver,ATL,2023,24,10,5,5,13.7,4.4,1.7,4.3,39.5,0.1,1.2,8.3,0.9,1.3,69.2,1,2.8,3.8,0.6,0.7,0.6,0.2,1.4,11.6,0,0,-1.9
Goga Bitadze,ORL,2023,23,38,13,25,12,4.4,1.8,3.3,55.2,0.2,0.7,23.1,0.6,1.1,54.8,1.6,2,3.6,1,0.6,0.4,0.7,1.7,13,2,0,0.7
Haywood Highsmith,MIA,2023,26,54,28,26,18,4.4,1.7,4,43.1,0.7,2,33.9,0.2,0.5,46.4,1.1,2.4,3.5,0.8,0.8,0.7,0.3,1.5,11.9,2,0,-1.9
Bismack Biyombo,PHX,2023,30,61,33,28,14.3,4.3,2,3.4,57.8,0,0,0,0.4,1.1,35.7,1.5,2.8,4.3,0.9,0.8,0.3,1.4,1.9,15.2,3,0,0.8
Moses Brown,BKN,2023,23,36,17,19,8.2,4.3,1.7,2.7,63.5,0,0,0,0.9,2,45.8,1.6,2.3,3.9,0.1,0.4,0.1,0.4,1.1,10.2,3,0,0.8
Justin Minaya,POR,2023,24,4,0,4,22.2,4.3,1.8,5.8,30.4,0.8,3,25,0,0.3,0,0.8,3,3.8,1,1,0.5,1.3,2.3,14.5,0,0,-5
Michael Carter-Williams,ORL,2023,31,4,1,3,11.1,4.3,1.5,3.5,42.9,0.3,0.8,33.3,1,1.8,57.1,0.3,1,1.3,1.8,1,0.3,0.3,1.3,8.9,0,0,-6.5
Xavier Sneed,CHA,2023,25,4,0,4,12.1,4.3,1.3,2.5,50,0.8,1.5,50,1,1,100,0,1.3,1.3,1.3,0.8,0,0.3,1.8,7.6,0,0,-7
McKinley Wright IV,DAL,2023,24,27,14,13,12.4,4.2,1.7,3.6,46.9,0.3,1,32.1,0.5,0.7,68.4,0.3,1.4,1.7,2.1,0.7,0.3,0.2,0.9,10.3,0,0,-4.1
Admiral Schofield,ORL,2023,26,37,14,23,12.2,4.2,1.5,3.3,45.1,0.6,2,32.4,0.6,0.6,91.3,0.6,1.1,1.7,0.8,0.4,0.2,0.1,1.6,8.1,0,0,-2.1
Ish Wainright,PHX,2023,28,60,33,27,15.3,4.2,1.4,3.8,37,1,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.4,0.6,0.4,2,10.9,0,0,1.5
Paul Reed,PHI,2023,23,69,44,25,10.9,4.2,1.8,3,59.3,0,0.1,16.7,0.6,0.7,74.5,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,12.8,5,0,-0.2
Kevon Harris,ORL,2023,25,34,12,22,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,0.8,1.2,2.1,0.5,0.6,0.5,0.1,1.6,8.6,0,0,0
Blake Griffin,BOS,2023,34,41,27,14,13.9,4.1,1.5,3.2,48.5,0.6,1.6,34.8,0.5,0.8,65.6,1.1,2.6,3.8,1.5,0.5,0.3,0.2,1.8,12.1,0,0,2.6
